date,Community name,COMM_CODE,Number of taxable accounts,Median assessed value
01/01/2016 12:00:00 AM,Abbeydale,ABB,1804,310000
01/01/2016 12:00:00 AM,Acadia,ACA,3859,396000
01/01/2016 12:00:00 AM,Albert Park/Radisson Hts,ALB,1916,328000
01/01/2016 12:00:00 AM,Altadore,ALT,2823,776000
01/01/2016 12:00:00 AM,Applewood Park,APP,1795,369000
01/01/2016 12:00:00 AM,Arbour Lake,ARB,4332,469000
01/01/2016 12:00:00 AM,Aspen Woods,ASP,3319,815000
01/01/2016 12:00:00 AM,Auburn Bay,AUB,4906,497000
01/01/2016 12:00:00 AM,Banff Trail,BNF,1244,611000
01/01/2016 12:00:00 AM,Bankview,BNK,2245,281000
01/01/2016 12:00:00 AM,Bayview,BYV,248,1020000
01/01/2016 12:00:00 AM,Beddington Heights,BED,4070,355000
01/01/2016 12:00:00 AM,Belaire,BEL,157,1710000
01/01/2016 12:00:00 AM,Beltline,BLN,16520,321000
01/01/2016 12:00:00 AM,Bonavista Downs,BDO,368,422000
01/01/2016 12:00:00 AM,Bowness,BOW,3720,377000
01/01/2016 12:00:00 AM,Braeside,BRA,2536,382000
01/01/2016 12:00:00 AM,Brentwood,BRE,3391,518000
01/01/2016 12:00:00 AM,Bridgeland/Riverside,BRD,2743,435000
01/01/2016 12:00:00 AM,Bridlewood,BRI,4756,397000
01/01/2016 12:00:00 AM,Britannia,BRT,287,1540000
01/01/2016 12:00:00 AM,Cambrian Heights,CAM,699,553000
01/01/2016 12:00:00 AM,Canyon Meadows,CAN,3136,436000
01/01/2016 12:00:00 AM,Capitol Hill,CAP,1444,542000
01/01/2016 12:00:00 AM,Castleridge,CAS,1654,324000
01/01/2016 12:00:00 AM,Cedarbrae,CED,2344,373000
01/01/2016 12:00:00 AM,Chaparral,CHA,4399,492000
01/01/2016 12:00:00 AM,Charleswood,CHW,1319,569000
01/01/2016 12:00:00 AM,Chinatown,CHN,1215,356000
01/01/2016 12:00:00 AM,Chinook Park,CHK,526,693000
01/01/2016 12:00:00 AM,Christie Park,CHR,726,699000
01/01/2016 12:00:00 AM,Citadel,CIT,3620,447000
01/01/2016 12:00:00 AM,Cliff Bungalow,CLI,839,319000
01/01/2016 12:00:00 AM,Coach Hill,COA,1481,393000
01/01/2016 12:00:00 AM,Collingwood,COL,839,553000
01/01/2016 12:00:00 AM,Copperfield,CPF,5143,388000
01/01/2016 12:00:00 AM,Coral Springs,COR,1474,488000
01/01/2016 12:00:00 AM,Cougar Ridge,CGR,2361,583000
01/01/2016 12:00:00 AM,Country Hills,COU,1562,388000
01/01/2016 12:00:00 AM,Country Hills Village,CHV,2231,281000
01/01/2016 12:00:00 AM,Coventry Hills,COV,5510,409000
01/01/2016 12:00:00 AM,Cranston,CRA,6790,471000
01/01/2016 12:00:00 AM,Crescent Heights,CRE,3007,391000
01/01/2016 12:00:00 AM,Crestmont,CRM,484,639000
01/01/2016 12:00:00 AM,Dalhousie,DAL,3670,467000
01/01/2016 12:00:00 AM,Deer Ridge,DRG,1383,355000
01/01/2016 12:00:00 AM,Deer Run,DRN,2101,398000
01/01/2016 12:00:00 AM,Diamond Cove,DIA,271,532000
01/01/2016 12:00:00 AM,Woodbine,WBN,3337,450000
01/01/2016 12:00:00 AM,Discovery Ridge,DIS,2278,702000
01/01/2016 12:00:00 AM,Douglasdale/Glen,DDG,5023,480000
01/01/2016 12:00:00 AM,Dover,DOV,4136,290000
01/01/2016 12:00:00 AM,Downtown Commercial Core,DNC,3217,160000
01/01/2016 12:00:00 AM,Downtown East Village,DNE,1608,323000
01/01/2016 12:00:00 AM,Downtown West End,DNW,2362,364000
01/01/2016 12:00:00 AM,Eagle Ridge,EAG,108,1595000
01/01/2016 12:00:00 AM,Eau Claire,EAU,2805,505000
01/01/2016 12:00:00 AM,Edgemont,EDG,5363,574000
01/01/2016 12:00:00 AM,Elbow Park,EPK,1192,1360000
01/01/2016 12:00:00 AM,Elboya,EYA,690,776000
01/01/2016 12:00:00 AM,Erin Woods,ERI,2348,315000
01/01/2016 12:00:00 AM,Erlton,ERL,1115,433000
01/01/2016 12:00:00 AM,Evanston,EVN,4808,477000
01/01/2016 12:00:00 AM,Evergreen,EVE,7832,489000
01/01/2016 12:00:00 AM,Fairview,FAI,1254,406000
01/01/2016 12:00:00 AM,Falconridge,FAL,2867,305000
01/01/2016 12:00:00 AM,Forest Heights,FHT,1891,294000
01/01/2016 12:00:00 AM,Forest Lawn,FLN,1941,311000
01/01/2016 12:00:00 AM,Glamorgan,GLA,2348,435000
01/01/2016 12:00:00 AM,Glenbrook,GBK,2332,415000
01/01/2016 12:00:00 AM,Glendale,GDL,982,571000
01/01/2016 12:00:00 AM,Greenview,GRV,749,225000
01/01/2016 12:00:00 AM,Greenwood/Greenbriar,GRE,499,42000
01/01/2016 12:00:00 AM,Hamptons,HAM,2475,678000
01/01/2016 12:00:00 AM,Harvest Hills,HAR,2655,432000
01/01/2016 12:00:00 AM,Hawkwood,HAW,3499,494000
01/01/2016 12:00:00 AM,Haysboro,HAY,3339,402000
01/01/2016 12:00:00 AM,Hidden Valley,HID,3849,427000
01/01/2016 12:00:00 AM,Highland Park,HPK,1314,484000
01/01/2016 12:00:00 AM,Highwood,HIW,803,468000
01/01/2016 12:00:00 AM,Hillhurst,HIL,2467,624000
01/01/2016 12:00:00 AM,Hounsfield Heights/Briar Hill,HOU,1263,638000
01/01/2016 12:00:00 AM,Huntington Hills,HUN,4559,386000
01/01/2016 12:00:00 AM,Inglewood,ING,2317,425000
01/01/2016 12:00:00 AM,Kelvin Grove,KEL,577,786000
01/01/2016 12:00:00 AM,Killarney/Glengarry,KIL,3155,562000
01/01/2016 12:00:00 AM,Kincora,KCA,2231,525000
01/01/2016 12:00:00 AM,Kingsland,KIN,1402,442000
01/01/2016 12:00:00 AM,Lake Bonavista,LKB,5122,575000
01/01/2016 12:00:00 AM,Lakeview,LKV,1987,583000
01/01/2016 12:00:00 AM,Legacy,LEG,859,431000
01/01/2016 12:00:00 AM,Lincoln Park,LPK,1493,267000
01/01/2016 12:00:00 AM,Macewan,MAC,1693,417000
01/01/2016 12:00:00 AM,Mahogany,MAH,2790,532000
01/01/2016 12:00:00 AM,Manchester,MAN,189,175000
01/01/2016 12:00:00 AM,Maple Ridge,MPL,806,505000
01/01/2016 12:00:00 AM,Marlborough,MRL,2570,351000
