TYPE,NAME,ADDRESS,COMM_CODE,longitude,latitude,location
Library,Bowness Library,6532 BOWNESS RD NW,BOW,-114.18302758028041,51.087319476786774,"(51.087319476786774, -114.18302758028041)"
Attraction,Glenbow Alberta Museum,130 9 AV SE,DNC,-114.06112369577545,51.04470610101934,"(51.04470610101934, -114.06112369577545)"
Community Centre,Sunalta Community Centre,1627 10 AV SW,SNA,-114.09833433626284,51.04417435024193,"(51.04417435024193, -114.09833433626284)"
Attraction,Inglewood Bird Sanctuary,2425 9 AV SE,ING,-114.0087423751395,51.030095793296894,"(51.030095793296894, -114.0087423751395)"
PHS Clinic,Thornhill Community Health Centre,6617 Centre ST NW,HUN,-114.06391459432675,51.11218619333126,"(51.11218619333126, -114.06391459432675)"
Attraction,Rocky Mountaineer Rail Tours,115 9 AV SW,DNC,-114.06245018496966,51.044087065157676,"(51.044087065157676, -114.06245018496966)"
Community Centre,Windsor Park Community Centre,5304 6 ST SW,WND,-114.07854671214409,51.00640371439741,"(51.00640371439741, -114.07854671214409)"
PHS Clinic,North Hill Community Health Centre,1527 19 ST NW,HOU,-114.10650709115143,51.06532159267874,"(51.06532159267874, -114.10650709115143)"
Attraction,Fish Creek Provincial Park (Bow Valley Ranch),15979 Bow Bottom TR SE,FPK,-114.01510755024893,50.909338581108344,"(50.909338581108344, -114.01510755024893)"
Community Centre,Tuscany Community Centre,212 Tuscany Way NW,TUS,-114.24564461586554,51.1245903809456,"(51.1245903809456, -114.24564461586554)"
Community Centre,North Glenmore Park Community Centre,2231 Longridge DR SW,NGM,-114.11206037488374,50.99811739400991,"(50.99811739400991, -114.11206037488374)"
Social Dev Ctr,Bowmont,5000 BOWNESS RD NW,MON,-114.16495514895213,51.075525108644335,"(51.075525108644335, -114.16495514895213)"
Social Dev Ctr,South Area,502 HERITAGE DR SW,KIN,-114.07435086091301,50.98313705070583,"(50.98313705070583, -114.07435086091301)"
Community Centre,Highland Park Community Centre,3716 2 ST NW,HPK,-114.06624106050928,51.08532170060153,"(51.08532170060153, -114.06624106050928)"
Library,Country Hills Library,11950 Country Village Link NE,CHV,-114.0647513142184,51.156930605182936,"(51.156930605182936, -114.0647513142184)"
Community Centre,Varsity Community Centre,4303 Varsity DR NW,VAR,-114.14923384882196,51.091982801745985,"(51.091982801745985, -114.14923384882196)"
Community Centre,Fairview Community Centre,8038 Fairmount DR SE,FAI,-114.05868999355175,50.98251763288699,"(50.98251763288699, -114.05868999355175)"
Community Centre,Wildwood Community Centre,4411 Spruce DR SW,WLD,-114.15088014874473,51.051886350376456,"(51.051886350376456, -114.15088014874473)"
Community Centre,Rosscarrock Community Centre,4411 10 AV SW,RCK,-114.15075286617495,51.04279764930228,"(51.04279764930228, -114.15075286617495)"
Attraction,Fish Creek Provincial Park (Learning Centre),13931 Woodpath RD SW,FPK,-114.13209621831759,50.92760030790942,"(50.92760030790942, -114.13209621831759)"
Visitor Info,Tourism Calgary Airport,2000 Airport RD NE,CIA,-114.00924569013944,51.13131007166948,"(51.13131007166948, -114.00924569013944)"
Library,Southwood Library,924 SOUTHLAND DR SW,SOW,-114.08617997642551,50.96358655798522,"(50.96358655798522, -114.08617997642551)"
Community Centre,Ranchlands Community Centre,7713 Ranchview DR NW,RAN,-114.17951073267321,51.11959514517543,"(51.11959514517543, -114.17951073267321)"
Social Dev Ctr,West Area,2539 33 AV SW,CFC,-114.12380714878877,51.023239371972956,"(51.023239371972956, -114.12380714878877)"
Social Dev Ctr,North Area,905 30 AV NW,MOP,-114.0792565329423,51.0798229863009,"(51.0798229863009, -114.0792565329423)"
PHS Clinic,Sheldon M. Chumir Health Centre,1213 - 4 ST SW,BLN,-114.07212956123551,51.04116344159869,"(51.04116344159869, -114.07212956123551)"
Library,Quarry Park Library,108 Quarry Park RD SE,DDG,-114.00605942056835,50.96158777667302,"(50.96158777667302, -114.00605942056835)"
Community Centre,Ramsay Community Centre,1136 8 ST SE,RAM,-114.04114298429343,51.03842577148743,"(51.03842577148743, -114.04114298429343)"
