,name,score,lat,lng
0,Glendale,6.8,51.0321842,-114.1455826342463
1,W. O. Mitchell,7.2,51.1135772,-114.19425039381917
2,Douglas Harkness,5.1,51.0738374,-113.94579066892177
3,Holy Name,9.4,51.027749549999996,-114.13903986520614
4,Sunnyside,6.0,51.056267500000004,-114.08007622422106
5,Holy Trinity,5.5,51.0389182,-113.97500738007687
6,Rideau Park,8.0,51.02496375,-114.07545469526016
7,Huntington Hills,5.2,51.112212,-114.07725563022868
8,St. Henry,6.2,51.117665099999996,-114.08021555458022
9,Grant MacEwan,5.3,51.1064274,-113.9427945884022
10,Falconridge,4.0,51.099430100000006,-113.94531511397011
11,Elboya,8.0,51.01069285,-114.07766868897735
12,Holy Family,6.5,51.0459519,-113.987524125
13,St. Clare,6.5,51.1644106,-114.0583298
14,Blessed Kateri Tekakwitha,4.6,51.061885950000004,-113.92794720042386
15,Nellie McClung,6.9,50.9682927,-114.11313572517304
16,St. Cecilia,7.2,50.9650021,-114.05041362645747
17,Louis Riel,8.7,50.9541922,-114.1181803
18,Holy Child,5.7,50.8859174,-114.0821109
19,Our Lady of Fatima,6.6,51.1164901,-113.93815734515493
20,St. Matthew,5.4,50.9788727,-114.0581583032526
21,St. Sebastian,7.7,50.8776721,-114.0368272
22,Bishop Grandin,6.1,50.9755268,-114.07889638152409
23,Beddington Heights,6.5,51.1317409,-114.07940122495458
24,St. Catherine,6.5,50.9438716,-114.08665828237126
25,Manmeet Singh Bhullar School,5.0,51.12314485,-113.95977534797136
26,Bishop McNally,6.2,51.1028112,-113.95423405834313
27,Lord Beaverbrook,5.1,50.973159100000004,-114.062456858912
28,St. Andrew,5.4,51.016395849999995,-114.14739648348942
29,Bowness,6.0,51.092616199999995,-114.20019494079762
30,St. Wilfrid,7.0,51.091844949999995,-113.96898846072943
31,Ranchlands,5.2,51.118862,-114.17917644981526
32,Bearspaw,6.8,51.137699,-114.312022
33,Rosemont,6.6,51.078087249999996,-114.09267345606574
34,St. Thomas More,6.7,51.08530675,-113.9456654314591
35,Olympic Heights,7.2,51.0455823,-114.18077589440375
36,James Fowler,3.6,51.0867396,-114.06981058969265
37,Capitol Hill,8.1,51.071783800000006,-114.1036345309513
38,John XXIII,3.3,51.1015588,-113.93905008474957
39,Belfast,6.9,51.0628402,-114.01860257973112
40,Midnapore,5.3,50.91522085,-114.05509015000001
41,Cecil Swanson,4.2,51.074173200000004,-113.96767465457773
42,St. Jude,5.4,50.9431476,-114.13182586137893
43,Banff Trail,8.1,51.081512599999996,-114.11616051467406
44,Sainte Marguerite Bourgeoys,5.6,51.010760399999995,-114.12119951442725
45,St. Hubert,6.5,51.11843205,-114.06218041661926
46,St. James,5.5,51.0006967,-114.11278021909276
47,Wildwood,5.6,51.05148835,-114.15201700531006
48,St. Mary's,6.5,51.0367855,-114.0639922
49,Calgary French & International,8.9,51.0469184,-114.199362
50,Calgary Jewish,7.7,50.99276055,-114.09263879594411
51,Clear Water,9.0,51.01939,-114.12095500000001
52,St. Sylvester,7.4,51.1094499,-114.19355652656787
53,Our Lady of Grace,7.5,51.1712925,-114.1163524
54,Blessed Marie-Rose,7.0,51.1624994,-114.1577823
55,Calgary Islamic,6.6,51.0866048,-114.004118
56,Father James Whelihan,6.9,50.90451055,-114.0466578136134
57,Dr. E. W. Coffin,8.1,51.10403255,-114.13523113853033
58,St. Joseph,6.0,51.0747288,-114.0728184770156
59,Ascension of Our Lord,5.7,51.14697715,-114.05941913061302
60,Annie Foote,6.6,51.0860306,-113.94033090100785
61,Divine Mercy School,6.0,50.9026353,-113.9317082
62,St. Maria Goretti,7.6,51.13434425,-114.17786687210537
63,Elbow Park,7.8,51.01973235,-114.0821944483865
64,Chestermere,6.7,51.044109,-114.0658683
65,Simons Valley,7.3,51.139459599999995,-114.10735822495587
66,St. Margaret,6.4,51.0814987,-114.0986332
67,King George,6.5,51.0710284,-114.08395748346044
68,Calgary Waldorf,8.7,51.070373,-114.219057
69,Chinook Park,7.1,50.98629635,-114.09000390613102
70,Heritage Christian,6.7,51.091745700000004,-114.01004407983456
71,St. Basil,8.1,51.119505849999996,-114.24963272299844
72,de la Source,3.0,50.969330799999994,-114.06176412987435
73,Monsignor J. J. O'Brien,6.8,50.9021971,-114.1044868
74,O. S. Geiger,3.0,51.10475385,-113.96154830209261
75,John Costello,8.1,51.0487417,-114.18065380994135
76,Ron Southern School,5.2,50.8868732,-114.0713713
77,Terrace Road,6.3,51.07466745,-114.15868748524429
78,Webber,9.9,51.0443522,-114.2225913
79,Ernest Manning,8.7,51.0364083,-114.19061286458187
80,Connaught,6.4,50.98688075,-114.07655082170453
81,Hillhurst,9.3,51.05930145,-114.09323980719222
82,Calgary Christian,7.8,51.0303365,-114.1166769
83,William Aberhart,8.4,51.0783134,-114.11497387635579
